project_name,print_screen_folder_path,model_path,processing_time_in_sec,timestamp,response
TEST-2,/app/banner_print/folder/,data.npy,57.111181020736694,2021-09-01 17:42:49.104117,"{'print_screen': '/app/banner_print/folder 2/1.jpg', 'banners_found': '[{""TemplateName"":""\\/app\\/banner_print\\/folder 1\\/770x90-(1).jpg"",""BBox"":[411,260,770,90],""Score"":0.8627342582}]'}"
TEST-3,/app/banner_print/folder/,data.npy,63.59894680976868,2021-09-01 17:43:12.141931,"{'print_screen': '/app/banner_print/folder 2/1.jpg', 'banners_found': '[{""TemplateName"":""\\/app\\/banner_print\\/folder 1\\/770x90-(1).jpg"",""BBox"":[411,260,770,90],""Score"":0.8627342582}]'}"
TEST-4,/app/banner_print/folder/,data.npy,61.86929941177368,2021-09-01 17:43:17.491978,"{'print_screen': '/app/banner_print/folder 2/1.jpg', 'banners_found': '[{""TemplateName"":""\\/app\\/banner_print\\/folder 1\\/770x90-(1).jpg"",""BBox"":[411,260,770,90],""Score"":0.8627342582}]'}"
